user_id,age,gender,location,session_duration,num_sessions,level,tasks_completed,revenue,purchases,average_revenue_per_user,game_version,platform,os_version,ad_campaign_cost,new_users_from_ads,retention_rate,game_rating,player_reviews,registration_date,event_date,user_event
52,51,Male,Europe,32.8221432362859,40,92,24,80.67735696487674,0,80.67735696487674,1.0,Android,12.0,22.602188828990084,38,0.153758056601899,3.011134843087887,50,2021-08-22,2021-11-18,Clicked Play Button
93,23,Male,Asia,87.10455273825782,13,54,22,25.18067660508815,0,25.18067660508815,3.0,iOS,12.0,34.59234399729841,12,0.3025217003916939,3.4848005784167286,41,2021-09-05,2022-08-03,Logged In
15,54,Male,Europe,99.59150135418263,45,87,21,82.37463879508005,0,82.37463879508005,1.0,iOS,10.0,31.869624896756743,12,0.7463454756501754,1.0141464948128984,23,2021-02-21,2021-03-30,Clicked Play Button
72,50,Male,USA,97.45522836853984,17,45,25,8.52683416116774,0,8.52683416116774,3.0,Android,10.0,35.817724143704346,39,0.2337059338508702,4.724524702275397,29,2021-01-15,2023-10-28,Logged In
61,39,Female,Europe,68.53761125190725,49,23,32,86.61837088690295,0,86.61837088690295,3.0,iOS,11.0,11.212919157561585,42,0.6587843742519099,2.4458043390981667,36,2022-03-17,2022-02-24,Clicked Shop Button
21,38,Male,USA,64.81953761573638,37,28,10,49.91864509333305,1,24.959322546666524,2.0,iOS,10.0,4.921735452249488,27,0.7242074647363824,2.5877274495373945,52,2022-11-27,2021-11-24,Logged In
83,23,Male,Europe,21.430735554032346,6,57,9,29.6537589620262,1,14.8268794810131,1.0,Android,12.0,45.84032890373882,17,0.36408943828419293,1.69643699013294,62,2021-01-07,2022-04-07,Clicked Play Button
87,23,Male,Asia,94.16480729636059,19,26,24,26.511325041514876,0,26.511325041514876,3.0,iOS,10.0,28.00859477836792,18,0.3578379787223268,2.512606453169844,10,2023-04-06,2022-06-13,Clicked Play Button
75,21,Male,USA,36.212078751372154,13,25,36,43.20105589303627,0,43.20105589303627,1.0,Android,10.0,7.6912962253705475,37,0.5462421449673175,4.215774123104208,77,2023-11-03,2021-10-03,Logged In
75,47,Male,Europe,62.11997362406385,26,54,47,99.9049498103645,1,49.95247490518225,2.0,iOS,10.0,39.67182909436808,31,0.789029066203811,4.199966690222139,22,2023-11-03,2021-10-03,Logged In
88,28,Male,Europe,37.69152068666442,14,29,42,22.032739343758255,1,11.016369671879128,2.0,iOS,11.0,45.74649683146413,21,0.2791249615307845,4.743187363581811,79,2022-09-23,2021-05-20,Logged In
24,47,Male,Europe,20.39026174496471,31,83,37,10.321664887899962,0,10.321664887899962,1.0,iOS,11.0,8.478175928555453,1,0.8530065568339221,2.612917890723183,49,2022-12-16,2023-05-12,Clicked Shop Button
3,48,Female,USA,77.39913514254971,4,97,40,58.50351687186619,0,58.50351687186619,1.0,Android,12.0,40.87062276345553,12,0.5792949478560866,3.8348860149943373,84,2021-04-25,2023-12-05,Clicked Shop Button
22,41,Female,USA,11.248184004633941,39,36,44,48.854246644025714,1,24.427123322012857,3.0,Android,11.0,46.661253065956416,22,0.893701177081821,3.0289502208302284,54,2022-05-24,2023-05-08,Logged In
53,26,Female,USA,91.094201924513,8,14,23,52.419627106330736,0,52.419627106330736,2.0,Android,10.0,46.918080014800864,24,0.17169097919625811,4.216091158076524,54,2021-02-26,2022-03-11,Clicked Play Button
2,20,Female,Asia,41.52248145502842,25,78,39,66.69354175572171,1,33.346770877860855,2.0,iOS,11.0,45.707823082675056,27,0.20124970920540727,3.8501680365319877,3,2022-01-17,2021-12-05,Clicked Play Button
88,48,Male,Asia,5.015489695515812,13,35,45,26.714406987064933,0,26.714406987064933,2.0,iOS,10.0,27.32105061800514,10,0.7613134429707862,2.4716117011451026,96,2022-09-23,2021-05-20,Logged In
30,57,Female,USA,63.779851012281426,32,30,32,91.06649953838884,1,45.53324976919442,1.0,Android,11.0,17.810565862693462,32,0.7918047164830794,2.34669533701477,53,2021-10-02,2022-12-09,Clicked Play Button
38,54,Female,Europe,10.387969480674359,38,92,16,43.567206612229036,1,21.783603306114518,3.0,Android,11.0,0.36364038470046434,23,0.45636695069674715,2.0097698521118703,60,2021-02-13,2022-04-19,Logged In
2,53,Male,Asia,36.75949914940344,38,17,23,12.908619514246178,0,12.908619514246178,1.0,iOS,11.0,3.045611343576354,1,0.671256940913868,3.306063161954551,77,2022-01-17,2021-12-05,Clicked Play Button
64,41,Male,USA,86.30229605740736,28,67,36,74.22987567339443,1,37.114937836697216,1.0,iOS,10.0,21.44195076486953,29,0.7940458299564308,4.855371406375438,82,2021-11-14,2021-08-31,Logged In
60,48,Female,Europe,12.209306486514574,30,80,1,64.31043526178503,0,64.31043526178503,1.0,iOS,11.0,19.966307319575517,16,0.13450223057506294,1.800266950470264,4,2022-06-18,2022-09-23,Clicked Play Button
21,23,Female,Asia,101.52392662094027,3,30,31,31.574340248403708,0,31.574340248403708,3.0,iOS,10.0,9.23569547849416,39,0.5591603383946069,1.3810098196173008,99,2022-11-27,2021-11-24,Logged In
33,19,Male,Europe,5.439291105737057,28,93,23,62.15187240340485,0,62.15187240340485,1.0,Android,10.0,19.77400140158284,33,0.7827845332211917,1.4776025683052545,94,2023-06-12,2022-08-10,Clicked Play Button
76,37,Female,Europe,33.38474495821876,3,45,8,21.986195636897687,0,21.986195636897687,2.0,iOS,12.0,8.732503272768405,37,0.41852395566781997,4.1323947050006,17,2022-06-01,2022-08-31,Clicked Play Button
58,45,Male,Europe,90.20396645748822,45,79,3,44.48393593405295,1,22.241967967026476,2.0,iOS,11.0,42.439562638792026,21,0.3419068848899415,2.400419217138255,43,2021-02-07,2021-03-10,Logged In
22,28,Male,Europe,41.37106721887028,34,89,16,89.94125221673252,0,89.94125221673252,2.0,iOS,12.0,14.909743893779941,4,0.73656534807587,1.8974673107695188,30,2022-05-24,2023-05-08,Logged In
89,21,Male,Asia,16.717624627591555,16,51,16,13.353423316074942,0,13.353423316074942,3.0,iOS,12.0,29.928217507915498,47,0.36862926680226893,2.411376473494,93,2023-01-17,2021-10-05,Logged In
49,32,Male,Asia,46.426900662049206,22,47,49,38.6696449987462,0,38.6696449987462,1.0,iOS,10.0,25.14215309995434,39,0.10253943854760257,3.581323251318087,20,2023-04-21,2021-07-03,Clicked Shop Button
91,23,Female,Asia,36.09522793422043,32,53,47,82.11424247203473,0,82.11424247203473,3.0,iOS,11.0,2.5941038796996105,15,0.8676580701032526,3.187148499313135,46,2022-03-24,2022-05-26,Clicked Play Button
59,47,Male,USA,101.91186874846382,38,64,29,96.94908994061781,1,48.474544970308905,1.0,iOS,10.0,47.11168597455831,12,0.5736985890808148,3.974357626084904,29,2022-11-15,2021-02-25,Clicked Shop Button
42,55,Male,Asia,41.03501052229146,8,38,39,45.39261364217959,0,45.39261364217959,2.0,Android,10.0,26.361298912524166,25,0.755614334968057,2.356296593927105,54,2021-05-05,2021-08-03,Clicked Play Button
92,19,Female,Europe,95.72723425424083,8,64,10,50.699962014334744,1,25.349981007167372,1.0,Android,11.0,16.252882169590766,30,0.7602412498741716,2.8081142938587416,67,2023-12-25,2021-04-24,Logged In
60,32,Male,Asia,107.5652966532345,6,87,20,57.21719617837697,1,28.608598089188487,1.0,Android,10.0,7.9063284816534125,38,0.15312833629818626,1.407873475851694,68,2022-06-18,2022-09-23,Clicked Play Button
80,28,Female,Europe,54.8890032513009,14,89,20,93.23481416337108,1,46.61740708168554,1.0,iOS,11.0,16.926331736341787,47,0.23668815950917185,1.2922345841311258,40,2023-02-23,2022-09-30,Clicked Play Button
15,25,Female,USA,109.64346154325509,32,7,17,85.82067909770298,0,85.82067909770298,3.0,Android,11.0,1.025580151169475,22,0.3488965446077179,2.849020971376402,44,2021-02-21,2021-03-30,Clicked Play Button
62,43,Female,Europe,48.39157620576718,35,22,28,17.060112462164433,0,17.060112462164433,1.0,iOS,10.0,18.177907767414887,47,0.3565594280330583,2.206386429783694,73,2022-04-10,2022-07-21,Clicked Shop Button
62,22,Male,Europe,115.86901789636244,10,81,23,43.6757817847075,0,43.6757817847075,1.0,iOS,10.0,26.57429636522524,11,0.6270288941447303,3.4512022885445233,90,2022-04-10,2022-07-21,Clicked Shop Button
47,23,Female,Europe,15.268295320440886,3,82,9,46.40004281964263,0,46.40004281964263,1.0,iOS,12.0,43.59331229254724,13,0.5985063366021478,1.1720086617782877,79,2021-10-20,2022-09-17,Clicked Play Button
62,43,Female,USA,84.00721564787291,12,41,44,78.90961116487567,1,39.454805582437835,3.0,iOS,10.0,34.36872088488988,17,0.495671822407851,1.4870655103982617,29,2022-04-10,2022-07-21,Clicked Shop Button
51,21,Male,Asia,61.7886146525468,49,74,16,60.28928826054353,1,30.144644130271764,3.0,Android,11.0,5.57911565666207,26,0.26901098584701433,4.46076324442558,76,2023-01-26,2023-01-25,Clicked Play Button
55,36,Female,Asia,49.57961262739941,31,10,17,65.4220462029013,0,65.4220462029013,3.0,iOS,12.0,7.387316221898055,27,0.4055867757522428,3.265246486076418,99,2021-06-15,2021-10-20,Logged In
64,37,Female,USA,77.7618660560891,29,57,41,99.81999076656176,0,99.81999076656176,1.0,iOS,11.0,21.406168390918733,17,0.5348751747721356,3.8482181347649087,84,2021-11-14,2021-08-31,Logged In
3,50,Female,Europe,85.94356553794809,5,7,47,7.496004347001306,0,7.496004347001306,2.0,Android,12.0,9.785387581939393,15,0.47438829288315354,4.367888474829183,44,2021-04-25,2023-12-05,Clicked Shop Button
51,37,Female,Asia,5.501776009785545,25,50,19,22.3009823533733,0,22.3009823533733,2.0,Android,10.0,1.3924888791377876,15,0.20183402647606272,2.855337371800209,44,2023-01-26,2023-01-25,Clicked Play Button
7,29,Female,USA,24.199605205927853,41,91,36,40.78959373715468,0,40.78959373715468,2.0,Android,10.0,40.25074400590351,12,0.6196083948015391,4.044241535869904,78,2023-12-12,2023-12-21,Logged In
21,18,Male,Asia,87.00029582294665,31,52,44,34.77824030488872,0,34.77824030488872,1.0,iOS,10.0,0.9761285348997062,28,0.15844142144852846,3.0983423162940973,83,2022-11-27,2021-11-24,Logged In
73,43,Female,USA,81.63432256149375,21,33,17,2.164556134698359,0,2.164556134698359,2.0,Android,11.0,41.534480259900704,8,0.40255574646486425,1.8909950810948155,83,2023-11-04,2022-11-07,Clicked Play Button
39,31,Female,Europe,116.09546308979787,20,1,16,9.177760647117584,1,4.588880323558792,2.0,iOS,12.0,7.205198151648301,25,0.6680234781401833,2.350624675203758,44,2022-08-25,2022-07-22,Clicked Play Button
18,55,Male,Asia,92.51934587884004,39,53,8,68.09532914035762,1,34.04766457017881,2.0,iOS,11.0,48.733920540355804,27,0.11601882761576521,2.9614017642226433,54,2023-06-24,2021-10-05,Logged In
