user_id,age,gender,location,time_spent,num_sessions,level,tasks_completed,registration_date,event_date,revenue,purchases,event_type,Earnings_advertisement
1,45,Female,Europe,2066,42,24,120,2022-05-23,2022-06-28,0,0,login,0
1,45,Female,Europe,2066,42,24,120,2022-05-23,2022-06-22,80,77,shop,0
1,45,Female,Europe,2066,42,24,120,2022-05-23,2022-06-12,0,0,view_advert,21
1,45,Female,Europe,2066,42,24,120,2022-05-23,2022-06-26,31,93,shop,0
1,45,Female,Europe,2066,42,24,120,2022-05-23,2022-06-14,0,0,login,0
1,45,Female,Europe,2066,42,24,120,2022-05-23,2022-06-10,0,0,login,0
1,45,Female,Europe,2066,42,24,120,2022-05-23,2022-06-09,0,0,view_advert,58
1,45,Female,Europe,2066,42,24,120,2022-05-23,2022-06-04,0,0,login,0
1,45,Female,Europe,2066,42,24,120,2022-05-23,2022-06-20,0,0,login,0
1,45,Female,Europe,2066,42,24,120,2022-05-23,2022-05-28,0,0,login,0
1,45,Female,Europe,2066,42,24,120,2022-05-23,2022-06-24,0,0,view_advert,50
1,45,Female,Europe,2066,42,24,120,2022-05-23,2022-06-22,0,0,view_advert,3
2,41,Male,Europe,3283,14,26,130,2022-06-04,2022-06-04,0,0,view_advert,68
2,41,Male,Europe,3283,14,26,130,2022-06-04,2022-06-27,0,41,shop,0
2,41,Male,Europe,3283,14,26,130,2022-06-04,2022-06-04,0,0,view_advert,8
2,41,Male,Europe,3283,14,26,130,2022-06-04,2022-06-06,0,0,login,0
2,41,Male,Europe,3283,14,26,130,2022-06-04,2022-06-07,0,0,view_advert,50
2,41,Male,Europe,3283,14,26,130,2022-06-04,2022-06-20,58,12,shop,0
2,41,Male,Europe,3283,14,26,130,2022-06-04,2022-06-28,0,0,login,0
3,49,Male,Europe,791,56,5,25,2022-05-23,2022-05-25,0,0,login,0
3,49,Male,Europe,791,56,5,25,2022-05-23,2022-05-26,0,0,login,0
3,49,Male,Europe,791,56,5,25,2022-05-23,2022-05-25,0,0,login,0
4,48,Female,Europe,3207,21,9,45,2022-05-30,2022-06-10,0,0,login,0
4,48,Female,Europe,3207,21,9,45,2022-05-30,2022-06-23,0,0,login,0
4,48,Female,Europe,3207,21,9,45,2022-05-30,2022-06-12,56,79,shop,0
4,48,Female,Europe,3207,21,9,45,2022-05-30,2022-06-19,6,7,shop,0
4,48,Female,Europe,3207,21,9,45,2022-05-30,2022-06-18,0,0,login,0
4,48,Female,Europe,3207,21,9,45,2022-05-30,2022-06-24,0,0,view_advert,18
4,48,Female,Europe,3207,21,9,45,2022-05-30,2022-06-27,0,0,view_advert,71
4,48,Female,Europe,3207,21,9,45,2022-05-30,2022-06-04,0,0,login,0
