user_id,age,gender,location,time_spent,num_sessions,level,tasks_completed,registration_date,event_date,revenue,purchases,event_type,Earnings_advertisement
1,43,Male,Latvia,2304,71,21,105,2022-04-14,2022-04-25,0,0,view_advert,92
1,43,Male,Latvia,2304,71,21,105,2022-04-14,2022-04-19,64,88,shop,0
1,43,Male,Latvia,2304,71,21,105,2022-04-14,2022-04-16,0,0,view_advert,87
1,43,Male,Latvia,2304,71,21,105,2022-04-14,2022-05-09,32,64,shop,0
1,43,Male,Latvia,2304,71,21,105,2022-04-14,2022-06-13,45,58,shop,0
1,43,Male,Latvia,2304,71,21,105,2022-04-14,2022-06-07,0,0,view_advert,0
2,44,Male,Greece,2331,3,26,130,2022-04-24,2022-04-27,58,8,shop,0
2,44,Male,Greece,2331,3,26,130,2022-04-24,2022-05-01,78,32,shop,0
2,44,Male,Greece,2331,3,26,130,2022-04-24,2022-05-28,0,0,view_advert,64
2,44,Male,Greece,2331,3,26,130,2022-04-24,2022-06-11,0,0,login,0
2,44,Male,Greece,2331,3,26,130,2022-04-24,2022-06-09,0,0,view_advert,87
2,44,Male,Greece,2331,3,26,130,2022-04-24,2022-05-08,0,0,login,0
2,44,Male,Greece,2331,3,26,130,2022-04-24,2022-05-26,0,0,login,0
2,44,Male,Greece,2331,3,26,130,2022-04-24,2022-04-27,20,80,shop,0
2,44,Male,Greece,2331,3,26,130,2022-04-24,2022-04-25,0,0,login,0
2,44,Male,Greece,2331,3,26,130,2022-04-24,2022-05-27,0,0,view_advert,53
2,44,Male,Greece,2331,3,26,130,2022-04-24,2022-05-12,64,60,shop,0
2,44,Male,Greece,2331,3,26,130,2022-04-24,2022-05-15,0,0,login,0
3,28,Female,Denmark,2397,50,30,150,2022-04-19,2022-05-25,0,0,login,0
3,28,Female,Denmark,2397,50,30,150,2022-04-19,2022-05-07,0,0,view_advert,35
3,28,Female,Denmark,2397,50,30,150,2022-04-19,2022-05-06,0,0,login,0
3,28,Female,Denmark,2397,50,30,150,2022-04-19,2022-06-04,0,0,view_advert,17
3,28,Female,Denmark,2397,50,30,150,2022-04-19,2022-05-25,0,0,view_advert,26
3,28,Female,Denmark,2397,50,30,150,2022-04-19,2022-06-03,0,65,shop,0
4,42,Female,Malta,2286,32,23,115,2022-03-03,2022-04-16,17,66,shop,0
4,42,Female,Malta,2286,32,23,115,2022-03-03,2022-04-19,0,0,login,0
5,30,Male,Greece,1962,54,37,185,2022-04-11,2022-05-13,0,0,view_advert,34
5,30,Male,Greece,1962,54,37,185,2022-04-11,2022-06-01,12,24,shop,0
5,30,Male,Greece,1962,54,37,185,2022-04-11,2022-04-17,0,0,login,0
5,30,Male,Greece,1962,54,37,185,2022-04-11,2022-04-17,0,0,login,0
5,30,Male,Greece,1962,54,37,185,2022-04-11,2022-06-13,0,0,login,0
5,30,Male,Greece,1962,54,37,185,2022-04-11,2022-06-27,0,0,login,0
5,30,Male,Greece,1962,54,37,185,2022-04-11,2022-04-16,0,0,login,0
5,30,Male,Greece,1962,54,37,185,2022-04-11,2022-05-10,6,95,shop,0
6,35,Male,Luxembourg,405,16,13,65,2022-02-23,2022-06-26,0,0,login,0
6,35,Male,Luxembourg,405,16,13,65,2022-02-23,2022-05-11,0,0,login,0
6,35,Male,Luxembourg,405,16,13,65,2022-02-23,2022-03-22,0,0,login,0
6,35,Male,Luxembourg,405,16,13,65,2022-02-23,2022-06-05,11,66,shop,0
6,35,Male,Luxembourg,405,16,13,65,2022-02-23,2022-06-01,0,0,login,0
7,25,Male,Spain,2925,35,4,20,2022-06-22,2022-06-29,51,52,shop,0
7,25,Male,Spain,2925,35,4,20,2022-06-22,2022-06-22,0,0,view_advert,32
7,25,Male,Spain,2925,35,4,20,2022-06-22,2022-06-25,0,0,login,0
7,25,Male,Spain,2925,35,4,20,2022-06-22,2022-06-23,0,0,login,0
7,25,Male,Spain,2925,35,4,20,2022-06-22,2022-06-23,99,49,shop,0
7,25,Male,Spain,2925,35,4,20,2022-06-22,2022-06-28,0,0,login,0
7,25,Male,Spain,2925,35,4,20,2022-06-22,2022-06-22,91,47,shop,0
8,28,Male,Greece,3108,20,7,35,2022-02-08,2022-03-20,0,0,login,0
8,28,Male,Greece,3108,20,7,35,2022-02-08,2022-06-13,18,47,shop,0
8,28,Male,Greece,3108,20,7,35,2022-02-08,2022-05-01,4,38,shop,0
8,28,Male,Greece,3108,20,7,35,2022-02-08,2022-03-24,0,0,view_advert,30
9,30,Male,Czech Republic,3301,93,6,30,2022-01-19,2022-05-19,0,0,login,0
9,30,Male,Czech Republic,3301,93,6,30,2022-01-19,2022-01-27,76,10,shop,0
9,30,Male,Czech Republic,3301,93,6,30,2022-01-19,2022-06-27,0,0,view_advert,51
10,18,Male,Iceland,1373,75,3,15,2022-02-03,2022-06-09,59,40,shop,0
10,18,Male,Iceland,1373,75,3,15,2022-02-03,2022-05-17,0,0,view_advert,9
10,18,Male,Iceland,1373,75,3,15,2022-02-03,2022-03-08,0,0,view_advert,78
10,18,Male,Iceland,1373,75,3,15,2022-02-03,2022-06-09,0,0,login,0
10,18,Male,Iceland,1373,75,3,15,2022-02-03,2022-04-14,0,0,view_advert,29
10,18,Male,Iceland,1373,75,3,15,2022-02-03,2022-05-07,0,0,view_advert,84
10,18,Male,Iceland,1373,75,3,15,2022-02-03,2022-04-14,33,48,shop,0
10,18,Male,Iceland,1373,75,3,15,2022-02-03,2022-06-01,74,5,shop,0
10,18,Male,Iceland,1373,75,3,15,2022-02-03,2022-04-13,0,0,login,0
